name,type,country,region,grapes,description,food,alcohol,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates
херес,🍯 Крепленое белое,Испания (Херес),Херес,Паломино,"Уникальное вино под флором. От сухих (Фино) до сладких (Педро Хименес).","📌 Хамон, оливки, миндаль, десерты",15.0,6.8,0.5,0.2,25.0,0.05,20,60,1.01,3.1,0.6
мадера,🍯 Крепленое белое,Португалия (Мадейра),Мадейра,Серсиаль,"Прошедшее термальную выдержку (мадеризацию). Ноты карамели, орехов и ванили.","📌 Супы, паштеты, выдержанные сыры, десерты",19.0,7.2,0.6,0.25,30.0,0.04,20,60,1.02,3.3,0.55
кьянти классико,🍷 Красное сухое,Италия (Тоскана),Кьянти,Санджовезе,"Более строгий стандарт Кьянти, с большей структурой и тонами вишни и фиалки.","📌 Паста с мясом, бифштекс по-флорентийски",13.5,8.0,0.45,0.3,2.0,0.06,22,65,0.997,3.3,0.65
брунелло,🍷 Красное сухое,Италия (Тоскана),Монтальчино,Санджовезе,"Одно из величайших итальянских вин. Мощное, с огромным потенциалом выдержки.","📌 Дичь, выдержанные сыры, трюфели",14.0,8.2,0.5,0.3,1.8,0.06,24,68,0.998,3.3,0.7
барбареско,🍷 Красное сухое,Италия (Пьемонт),Барбареско,Неббиоло,"Более элегантный и женственный брат Бароло. Ароматы розы и вишни.","📌 Трюфели, жаркое, выдержанные сыры",13.5,8.3,0.45,0.3,1.9,0.06,24,68,0.998,3.3,0.68
дольчетто,🍷 Красное сухое,Италия (Пьемонт),Альба,Дольчетто,"Фруктовое, с низкой кислотностью и тонами вишни и миндаля. Пьется молодым.","📌 Паста, пицца, легкие мясные блюда",12.5,7.5,0.4,0.25,2.2,0.06,20,58,0.996,3.4,0.6
корвина,🍷 Красное сухое,Италия (Венето),Вальполичелла,Корвина,"Основной сорт для Вальполичеллы и Амароне. Терпковатые ноты вишни и пряностей.","📌 Мясные закуски, паста, средние сыры",12.5,7.5,0.45,0.25,2.3,0.065,22,64,0.996,3.4,0.65
неро д'авола,🍷 Красное сухое,Италия (Сицилия),Сицилия,Неро д'Авола,"Сицилийский сорт. Насыщенное, с тонами черной вишни, сливы и лакрицы.","📌 Мясо на гриле, баклажаны, сицилийская кухня",13.5,8.0,0.5,0.3,2.5,0.07,23,67,0.997,3.4,0.7
фраппато,🍷 Красное сухое,Италия (Сицилия),Сицилия,Фраппато,"Легкое, с нотами клубники, малины и цветов. Пьется охлажденным.","📌 Легкие закуски, рыба, белое мясо",12.0,7.2,0.35,0.25,2.0,0.06,18,52,0.995,3.3,0.55
альбариньо,🥂 Белое сухое,Испания (Галисия),Риас Байшас,Альбариньо,"Ароматное, с нотами абрикоса, персика, цитрусов и минералов.","📌 Морепродукты, рыба, севиче",12.5,7.2,0.2,0.35,2.5,0.035,23,72,0.995,3.2,0.5
вердехо,🥂 Белое сухое,Испания (Руэда),Руэда,Вердехо,"Свежее, с нотами трав, цитрусов и тропических фруктов.","📌 Морепродукты, салаты, легкие закуски",12.0,7.0,0.2,0.3,2.2,0.03,20,65,0.994,3.2,0.45
виура,🥂 Белое сухое,Испания (Риоха),Риоха,Виура,"Основной белый сорт Риохи. Цитрусовые ноты, часто с ванильными оттенками от дуба.","📌 Рыба, птица, крем-супы",12.5,7.0,0.22,0.3,2.3,0.035,21,68,0.995,3.3,0.5
годельо,🥂 Белое сухое,Испания (Галисия),Вальдеоррас,Годельо,"Полнотелое, с нотами груши, яблока и миндаля.","📌 Рыба, морепродукты, белое мясо",13.0,7.2,0.23,0.35,2.4,0.04,22,70,0.995,3.2,0.52
шенен блан,🥂 Белое сухое,Франция (Луара),Вувре,Шенен Блан,"Многоликий сорт: от сухих искристых до сладких. Ноты яблока, меда и айвы.","📌 Козий сыр, рыба, морепродукты",12.5,8.0,0.25,0.4,5.0,0.035,25,80,0.996,3.1,0.5
вионье,🥂 Белое сухое,Франция (Долина Роны),Кондриё,Вионье,"Очень ароматное, с нотами абрикоса, персика и цветов. Полнотелое, маслянистое.","📌 Острая азиатская кухня, рыба в сливочном соусе, курица",13.5,6.8,0.2,0.3,3.0,0.035,22,75,0.995,3.3,0.5
мускат,🥂 Белое полусладкое,Франция/Италия,Разные регионы,Мускат,"Сладость от природы. Яркие мускатные, фруктовые тона.","📌 Фрукты, десерты, легкие торты",8.0,7.0,0.2,0.3,12.0,0.03,16,52,1.002,3.1,0.4
цвайгельт,🍷 Красное сухое,Австрия,Бургенланд,Цвайгельт,"Популярный австрийский сорт. Ноты вишни, малины и легких пряностей.","📌 Венский шницель, закуски, белое мясо",12.5,7.5,0.4,0.25,2.2,0.06,20,60,0.996,3.4,0.6
блауфренкиш,🍷 Красное сухое,Австрия,Бургенланд,Блауфренкиш,"Пряное, с нотами темных ягод, черного перца и минералов.","📌 Мясо на гриле, дичь",13.0,7.8,0.45,0.3,2.3,0.065,22,64,0.996,3.4,0.65
грюнер вельтлинер,🥂 Белое сухое,Австрия,Вахау,Грюнер Вельтлинер,"Национальный сорт Австрии. Пряное, с нотами белого перца, цитрусов и минералов.","📌 Рыба, морепродукты, спаржа, австрийская кухня",12.5,7.2,0.2,0.4,2.5,0.035,24,75,0.994,3.2,0.5
мускат окснель,🥂 Белое сухое,Германия/Франция,Разные,Мускат Окснель,"Утонченный мускат с яркой кислотностью, ноты цветов, цитрусов и муската.","📌 Легкие закуски, салаты, рыба",11.5,7.0,0.2,0.35,3.0,0.03,20,65,0.995,3.1,0.45
челлаж,🥂 Белое сухое,Венгрия,Эгер,Челлаж,"Типичный белый сорт Эгера. Свежее, с нотами яблок и трав.","📌 Рыба, птица, легкие блюда",12.0,7.0,0.22,0.3,2.3,0.035,21,68,0.995,3.2,0.48
бикавер,🍷 Красное сухое,Венгрия,Эгер,Бикавер,"Знаменитое эгерское «Бычья кровь». Смесь сортов, пряное, полнотелое.","📌 Гуляш, мясо по-венгерски, дичь",13.5,7.8,0.5,0.3,2.5,0.07,23,67,0.997,3.4,0.7
фурминт,🥂 Белое сладкое,Венгрия,Токай,Фурминт,"Основа легендарных токайских вин. Высокая кислотность, потенциал к ботритису.","📌 Фуа-гра, голубые сыры, десерты",11.0,8.5,0.25,0.5,15.0,0.035,30,90,1.01,3.0,0.5
кодру,🍷 Красное сухое,Молдова,Кодру,Каберне+Мерло,"Молдавское вино с защищенным географическим указанием. Мягкое, фруктовое.","📌 Мясные блюда, сыры",12.5,7.5,0.45,0.28,2.3,0.065,22,65,0.996,3.4,0.65
фетяска нягрэ,🍷 Красное сухое,Молдова/Румыния,Разные,Фетяска Нягрэ,"Местный сорт. Элегантное, с тонами вишни, черной смородины и легких специй.","📌 Мясо на гриле, блюда молдавской кухни",12.5,7.5,0.42,0.28,2.4,0.065,22,64,0.996,3.4,0.65
фетяска албэ,🥂 Белое сухое,Молдова/Румыния,Разные,Фетяска Албэ,"Местный сорт. Легкое, цветочное, с нотами зеленого яблока.","📌 Рыба, салаты, легкие закуски",11.5,6.8,0.2,0.3,2.5,0.035,20,60,0.994,3.2,0.45
траминер розе,🥂 Белое сухое,Молдова/Румыния,Разные,Траминер,"Ароматный сорт, родственный Гевюрцтраминеру, но с более сдержанными пряностями.","📌 Острая кухня, рыба",12.0,6.5,0.2,0.32,3.5,0.035,21,65,0.995,3.2,0.48
мцване,🥂 Белое сухое,Грузия,Кахетия,Мцване,"Старинный грузинский сорт. Свежее, с нотами цитрусов, полевых цветов и трав.","📌 Рыба, овощи, сыры",11.5,7.2,0.2,0.3,2.8,0.035,20,60,0.995,3.1,0.45
киси,🥂 Белое сухое,Грузия,Кахетия,Киси,"Восстановленный грузинский сорт. Богатое, маслянистое, с нотами абрикоса и меда.","📌 Белое мясо, рыба, сыры",12.5,7.5,0.22,0.35,3.0,0.04,22,65,0.996,3.2,0.5
оджалеши,🍷 Красное полусладкое,Грузия,Оджалеши,Оджалеши,"Природно-полусладкое грузинское вино. Бархатистое, с тонами ежевики и клубники.","📌 Сыры, орехи, фрукты, десерты",11.5,7.0,0.35,0.25,3.5,0.06,18,50,0.996,3.4,0.5
хванчкара,🍷 Красное полусладкое,Грузия,Хванчкара,Александроули,"Знаменитое грузинское природно-полусладкое. Тона малины, вишни и ежевики.","📌 Мясо, сыры, орехи, десерты",11.5,7.2,0.36,0.26,3.8,0.06,18,52,0.997,3.4,0.52
кинзмараули,🍷 Красное полусладкое,Грузия,Кинзмараули,Саперави,"Природно-полусладкое из Саперави. Тона спелой вишни и ежевики.","📌 Мясо на гриле, сыры, орехи",11.5,7.5,0.4,0.28,3.5,0.06,19,54,0.997,3.4,0.55
ахашени,🍷 Красное полусладкое,Грузия,Ахашени,Саперави,"Еще одно природно-полусладкое из Саперави, более насыщенное.","📌 Мясные блюда, сыры",12.0,7.6,0.42,0.28,3.6,0.06,19,55,0.997,3.4,0.55
твиши,🥂 Белое полусладкое,Грузия,Твиши,Цоликоури,"Легкое белое полусладкое с цветочно-фруктовым ароматом.","📌 Фрукты, десерты, легкие закуски",10.5,6.8,0.18,0.25,4.0,0.03,16,48,0.996,3.1,0.42
псоу,🥂 Белое сухое,Абхазия,Псоу,Рислинг+Ркацители,"Легкое, освежающее белое вино, часто с легким мускатным тоном.","📌 Рыба, салаты, морепродукты",11.0,6.5,0.2,0.28,2.5,0.03,18,55,0.994,3.2,0.4
лыкны,🍷 Красное полусладкое,Абхазия,Лыхны,Изабелла,"Самое известное абхазское вино из сорта Изабелла с характерным «лисьим» тоном.","📌 Мясо на гриле, сыры",11.0,7.0,0.35,0.2,4.0,0.08,15,45,0.997,3.4,0.45
буке,🍾 Игристое,Абхазия,Разное,Рислинг+Алиготе,"Советское игристое винтаж. Производится в Абхазии, но имеет грузинские корни.","📌 Праздники, закуски",11.5,7.2,0.2,0.25,7.0,0.035,18,55,0.996,3.2,0.4
новосветское игристое,🍾 Игристое,Россия (Крым),Новый Свет,Пино Нуар+Рислинг,"Крымское игристое, производимое классическим методом. Высокого качества.","📌 Торжества, закуски, рыба",12.0,7.5,0.2,0.3,6.0,0.035,20,60,0.997,3.1,0.45
массандра белое мускат,🍯 Десертное белое,Россия (Крым),Массандра,Мускат,"Легендарное десертное вино из коллекции «Массандры».","📌 Десерты, фуа-гра, голубые сыры",13.0,7.0,0.25,0.4,20.0,0.035,25,75,1.01,3.2,0.5
массандра красное десертное,🍯 Десертное красное,Россия (Крым),Массандра,Бастардо,"Густое, сладкое красное вино с тонами шоколада, чернослива и вишневого джема.","📌 Шоколадные десерты, сыры",16.0,6.5,0.5,0.2,18.0,0.05,20,65,1.015,3.4,0.6
фанагория ностальгия,🍯 Крепленое красное,Россия (Кубань),Фанагория,Каберне Совиньон,"Крепленое вино, выдержанное в дубе. Сложное, с тонами вишневого джема и шоколада.","📌 Сигары, шоколад, сыры",16.0,6.8,0.55,0.22,15.0,0.06,22,68,1.012,3.5,0.65
кубань-вино шардоне,🥂 Белое сухое,Россия (Кубань),Кубань,Шардоне,"Доступное и качественное российское Шардоне. Легкое, с нотами яблок и цитрусов.","📌 Рыба, птица, салаты",12.0,6.8,0.22,0.35,2.5,0.035,22,68,0.994,3.3,0.5
кубань-вино каберне,🍷 Красное сухое,Россия (Кубань),Кубань,Каберне Совиньон,"Бюджетное красное с нотами черной смородины и вишни.","📌 Мясные блюда, паста",12.5,7.5,0.4,0.28,2.3,0.065,22,66,0.996,3.4,0.65
инкерман каберне,🍷 Красное сухое,Россия (Крым),Инкерман,Каберне Совиньон,"Крымское вино с выдержкой в дубе. Более структурированное, с тонами табака и ванили.","📌 Мясо, сыры",13.0,7.8,0.42,0.3,2.4,0.07,24,68,0.997,3.4,0.68
инкерман рислинг,🥂 Белое сухое,Россия (Крым),Инкерман,Рислинг,"Крымский Рислинг с характерной минеральностью и цитрусовыми нотами.","📌 Рыба, морепродукты",12.0,7.5,0.2,0.35,2.5,0.035,22,70,0.995,3.1,0.48
абрау-дюрсо брют,🍾 Игристое,Россия (Кубань),Абрау-Дюрсо,Пино Блан+Рислинг,"Самый известный российский брют. Легкое, свежее, с нотами цитрусов и зеленого яблока.","📌 Аперитив, морепродукты, легкие закуски",11.5,7.0,0.2,0.3,5.0,0.03,18,55,0.996,3.1,0.42
шато тамань каберне,🍷 Красное сухое,Россия (Кубань),Тамань,Каберне Совиньон,"Вино с Таманского полуострова. Фруктовое, с тонами вишни и черной смородины.","📌 Мясо, паста, пицца",13.0,7.6,0.4,0.3,2.4,0.065,23,67,0.996,3.4,0.65
ведерниковъ шардоне,🥂 Белое сухое,Россия (Ростов),Ведерниковъ,Шардоне,"Вино из Ростовской области. Выдержанное в дубе, с нотами ванили и масла.","📌 Рыба, белое мясо",13.0,7.0,0.24,0.38,3.2,0.04,26,80,0.995,3.3,0.55
лефкадия каберне,🍷 Красное сухое,Россия (Кубань),Лефкадия,Каберне Совиньон,"Премиальное российское вино. Выдерживается в новых бочках. Сложное, с тонами черной смородины, ванили и шоколада.","📌 Стейки, выдержанные сыры, дичь",14.0,8.0,0.42,0.32,2.5,0.07,26,72,0.997,3.4,0.72
долина лефкадия пино нуар,🍷 Красное сухое,Россия (Кубань),Лефкадия,Пино Нуар,"Российский Пино Нуар. Элегантный, с тонами красных ягод и земли.","📌 Лосось, птица, легкие мясные блюда",13.0,7.2,0.34,0.21,1.9,0.06,19,58,0.995,3.3,0.62
усадьба дивноморское каберне,🍷 Красное сухое,Россия (Кубань),Геленджик,Каберне Совиньон,"Вино из виноградников рядом с Геленджиком. Минеральные ноты, свежая кислотность.","📌 Мясо, сыры",13.2,7.8,0.41,0.3,2.3,0.07,24,69,0.997,3.4,0.68
солнечная долина мускат,🥂 Белое полусладкое,Россия (Крым),Солнечная Долина,Мускат,"Крымский мускат с ярким фруктовым ароматом.","📌 Десерты, фрукты",12.0,6.8,0.2,0.3,5.0,0.035,18,52,0.998,3.1,0.45
арпачин,🍷 Красное сухое,Россия (Кубань),Арпачин,Каберне Совиньон,"Бюджетное вино от группы компаний «Ариант». Простое, фруктовое.","📌 Мясо, паста",12.5,7.4,0.4,0.28,2.3,0.065,22,65,0.996,3.4,0.64
шато пино,🍷 Красное сухое,Россия (Кубань),Абрау-Дюрсо,Пино Нуар+Каберне,"Проект Абрау-Дюрсо. Мягкое, фруктовое вино.","📌 Мясо, паста",12.5,7.5,0.4,0.28,2.4,0.065,22,65,0.996,3.4,0.64
вилла романа,🥂 Белое сухое,Россия (Кубань),Кубань,Шардоне+Рислинг,"Одно из самых продаваемых российских вин. Легкое, недорогое.","📌 Повседневные блюда",11.5,6.5,0.2,0.25,2.5,0.03,18,52,0.994,3.2,0.42
zб,🥂 Белое сухое,Россия (Кубань),Кубань,Рислинг+Шардоне,"Торговая марка «Цимлянские вина». Легкое, питкое.","📌 Повседневные блюда",11.5,6.5,0.2,0.25,2.5,0.03,18,52,0.994,3.2,0.42
виноградная миля,🍷 Красное сухое,Россия (Кубань),Кубань,Каберне Совиньон,"Линейка от «Кубань-Вино». Простое, фруктовое.","📌 Мясо, паста",12.5,7.5,0.4,0.28,2.4,0.065,22,65,0.996,3.4,0.64
риоха крианса,🍷 Красное сухое,Испания (Риоха),Риоха,Темпранильо,"Выдержка не менее 2 лет (1 в дубе). Хороший баланс фруктов и дуба.","📌 Тапас, мясо, паста, сыры",13.0,7.5,0.5,0.25,2.2,0.06,20,60,0.997,3.4,0.65
риоха резерва,🍷 Красное сухое,Испания (Риоха),Риоха,Темпранильо,"Выдержка не менее 3 лет (1 в дубе). Более сложное, с тонами кожи и ванили.","📌 Мясо на гриле, дичь, выдержанные сыры",13.5,7.6,0.52,0.25,2.3,0.06,21,62,0.997,3.4,0.67
рибера дель дуэро крианса,🍷 Красное сухое,Испания (Кастилия),Рибера дель Дуэро,Темпранильо,"Более мощные и танинные вина, чем в Риохе. Тона ежевики, кожи и минералов.","📌 Стейки, жаркое, дичь",13.5,7.8,0.55,0.28,2.2,0.065,22,65,0.998,3.5,0.7
наварра гарнача,🍷 Красное сухое,Испания (Наварра),Наварра,Гарнача,"Фруктовое, с тонами клубники и малины. Часто молодое и легкое.","📌 Закуски, паста, белое мясо",13.0,7.2,0.45,0.3,2.5,0.06,19,58,0.996,3.4,0.62
кава брют,🍾 Игристое,Испания (Каталония),Пенедес,Макабео+Парельяда,"Основной стиль кавы. Сухое, свежее, с цитрусовыми нотами.","📌 Аперитив, закуски, морепродукты",11.5,7.0,0.2,0.25,5.0,0.03,18,58,0.996,3.2,0.4
кава розе,🍾 Игристое розовое,Испания (Каталония),Пенедес,Гарнача,"Розовая кава с нотами красных ягод и цветов.","📌 Закуски, салаты, рыба",11.5,7.2,0.2,0.28,6.0,0.03,18,58,0.996,3.2,0.4
мансания,🍯 Крепленое белое,Испания (Андалусия),Санлукар де Баррамеда,Паломино,"Тип хереса Фино, выдержанный у моря. Очень сухой, с солоноватыми нотами.","📌 Морепродукты, хамон, оливки",15.0,6.5,0.5,0.2,2.0,0.05,20,60,1.008,3.0,0.6
фино,🍯 Крепленое белое,Испания (Андалусия),Херес,Паломино,"Самый сухой и легкий херес. Выдерживается под флором.","📌 Хамон, оливки, миндаль, морепродукты",15.0,6.5,0.5,0.2,2.0,0.05,20,60,1.008,3.0,0.6
амонтильядо,🍯 Крепленое белое,Испания (Андалусия),Херес,Паломино,"Херес, выдержанный сначала под флором, потом оксидативно. Ноты орехов.","📌 Хамон, выдержанные сыры, супы, грибы",17.0,6.5,0.5,0.2,5.0,0.05,20,60,1.01,3.1,0.6
